"place","lat","lon","family","type","years","comments","place_year"
"Малая Кокуйская","53.5503528","83.2567855","чаус","","1778-1805","**1770:** Кузьма Борисович по указу поселен из д. Чаус (до 1774 продолжали жить в Чаусе)<br>**1778:** свадьба Феклы Кузьминичны<br>**1805:** по ИР живёт одна семья<br>**1808:** по ИР нет Мурзинцевых (уехали в д. Савинская)","Малая Кокуйская (1778-1805)"
"Малая Талда","54.127302","87.088325","","","1867-1868","**1867:** свадьба Трофима Васильевича (см. Терсинский  руд.)<br>**1868:** у Трофима Васильевича родился сын","Малая Талда (1867-1868)"
"Малое Кривощеково","54.95","82.98","","","1862","**1843:** в окладной книге нет Мурзинцевых<br>**1862:** у Евфимии Михайловны родилась дочь","Малое Кривощеково (1862)"
"Малышево","53.74351","82.055788","","church","","в приходе Христорождественской церкви:<br>- Нижний Сузун<br>- Поротниково<br>- Аллак<br>- Духовая<br>- Сопляково<br>- Киприно (до 1859)<br>- Селезнево (до 1859)","Малышево"
"Мариинск","56.206347","87.742299","егор","","1893","**1893:** у Николая Андреевича (из г. Томск) родился сын","Мариинск (1893)"
"Матианская","58.3199283","82.957822","кол","","1890","(сов. часть г. Колпашево)<br>**1890:** Дмитрий Филиппович, рождение сына (из д. Колпашево)","Матианская (1890)"
"Мереть","53.575143","82.397031","","church","","в приходе Свято-Троицкой церкви:<br>- Верх-Сузун (с 1859)","Мереть"
"Мурзинцевский","49.52564","84.61461","","mine","","**1803:** рудник открыт унтер-шихмейстером Мурзинцевым","Мурзинцевский"
"Нерчинск","51.977058","116.585693","","","1700","**1700:** Степан, гулящий человек","Нерчинск (1700)"
"Нижнечуманка","53.220093","80.589858","суз","","с 1905","**1905:** Давид Самуилович переселился из д. Новотюменцево","Нижнечуманка (с 1905)"
"Нижний Сузун","53.72041","82.145657","","","с 1891","**1891:** Игнатий Иосифович в восприемниках<br>**1892:** Степан Иосифович, свадьба<br>**1917:** по переписи живёт 2 семьи","Нижний Сузун (с 1891)"
"Николаевская креп.","55.028326","71.621393","","","1843","**1843:** умер Дмитрий Васильевич, мещанин г. Курган","Николаевская креп. (1843)"
"Николаевский руд.","50.533333","81.876293","","mine","","(д. Каменевка)<br>**1861:** Павел Петрович умер","Николаевский руд."
"Новиково","52.616072","85.959439","егор","","","**1917:** по переписи живёт акушерка Евгения Петровна (из г. Томск)","Новиково"
"Новосибирск","55.0307","82.919903","","","","**1908:** родился Николай Степанович (по данным ВОВ)","Новосибирск"
"Новотюменцево","53.065877","80.202173","суз","","с 1813","**1813:** Фаддей Иванович, по ИР живёт 1 семья (из д. Ершёво)<br>Мурзинцевы продолжали жить до XX века","Новотюменцево (с 1813)"
"Орский Бор","55.455246","82.975673","чаус","","1818","(сов. Пристань-Почта)<br>**1818:** Устинья Семеновна (из с. Чаус) живёт в доме дяди Шипулина","Орский Бор (1818)"
"Павловский завод","53.315146","82.98939","","factory","1765, 1820, 1858","в приходе Введенской церкви:<br>- Савинская (совр. Зимино)<br><br>**1765:** мастеровой Матвей Иванович (из д. Верх-Сузун)<br>**1775:** у Матвея Ивановича родился сын<br>**1781:** по ИР нет Мурзинцевых<br><br>**1820:** у Ефима Сергеевича (из д. Селезнево) родилась дочь<br>**1834:** Ефим Сергеевич умер<br><br>**1858:** у Григория Степановича (из д. Селезнево) родился сын","Павловский завод (1765, 1820, 1858)"
"Падикова","55.557815","85.835429","","","","(совр. Подъяково)<br>**1878:** Илья Петрович Мурзинцев, в приходе<br>**1885:** Илья Петрович Мурзин, свадьба","Падикова"
